pass2_index,input_url,normalized_input_url,shuffle_sha256,pass1_occurrence_count,source_pass1_indices,source_sheet_rows,source_company_names,pass1_dataset,pass1_state,pass1_page_id,pass1_total_count,pass1_results_count,pass1_is_result_complete,pass1_error,pass1_captcha_required,pass1_system_status
537,https://www.facebook.com/BigBoyBamboo,https://www.facebook.com/bigboybamboo,8651aa7f4d7500d2c3443f8133147f6747ed412abbe98a5c7be7d3e1b7d2e104,1,620,653,"Big Boy Bamboo (Smart Bamboo Technologies, Inc.)",partial-803,positive_empty,711134469023550,13,0,true,,false,NO_KNOWN_ISSUES
538,https://www.facebook.com/pages/Arlenes-Costumes/120199338902,https://www.facebook.com/pages/arlenes-costumes/120199338902,86bbc756a42f9ea45163a1d3b4d048d6a252e945f627bee05e0da09adfa9f810,1,825,859,Arlene's Costumes,partial-803,zero,120199338902,0,0,true,,false,NO_KNOWN_ISSUES
539,https://www.facebook.com/elleandriley,https://www.facebook.com/elleandriley,86d43aac25041970a25200872e91ed9857951782fec9e4e4e5875723893be587,1,534,567,Elle & Riley,partial-803,positive,581039175398465,44,30,false,,false,NO_KNOWN_ISSUES
540,https://www.facebook.com/SPIbelt,https://www.facebook.com/spibelt,86e07bc9f647255a5e4279df544acbb616348b71b7e8d03b1cb3e6bd65f7a5b3,1,737,771,SPIbelt,partial-803,positive,53555273373,3,3,true,,false,NO_KNOWN_ISSUES
541,https://www.facebook.com/westcoastblendsapparel,https://www.facebook.com/westcoastblendsapparel,8732128d635dbd4b1ae1814a6ae82ecc714d99064b05687183f0c28233139549,1,29,30,West Coast Blends,partial-803,zero,100982058867770,0,0,true,,false,NO_KNOWN_ISSUES
542,https://www.facebook.com/happinessmerch,https://www.facebook.com/happinessmerch,8750e657bcfa5d321e7538e603c7466cfda40d41988c595ffa152d9842518e63,1,475,507,Happiness Project,partial-803,positive,1940552932851999,43,30,false,,false,NO_KNOWN_ISSUES
543,https://www.facebook.com/PLAE,https://www.facebook.com/plae,876632fda37be7ee6c21c07ffa464ec6ad5594a602573faa9f5e594328f3549b,1,245,277,PLAE (plae.co),partial-803,zero,229075190571048,0,0,true,,false,NO_KNOWN_ISSUES
544,https://www.facebook.com/distantlocal,https://www.facebook.com/distantlocal,87dcb32e66c09fcb49713555c101ba16c080f6b64dacbdbbb81d7f0fed6c9041,1,555,588,Distant Local,partial-803,zero,110190271796471,0,0,true,,false,NO_KNOWN_ISSUES
545,https://www.facebook.com/people/Dark-Femme/61560859526559,https://www.facebook.com/people/dark-femme/61560859526559,8843da35a267cbc868dec255a93285bd9fef62e8d101c8f75bc7e947abcd2e16,1,269,301,DARK Femme,continuation-209,zero,350979504759776,0,0,true,,false,NO_KNOWN_ISSUES
546,https://www.facebook.com/viennemilano,https://www.facebook.com/viennemilano,884a9e759962c63016cc4eb0ceb4dcfd8362508f844f3d5640cead8bf2bd1f81,1,59,60,VienneMilano Luxury Hosiery,partial-803,positive,191086700936417,106,23,false,,false,NO_KNOWN_ISSUES
547,https://www.facebook.com/profile.php?id=61570926656779,https://www.facebook.com/profile.php?id=61570926656779,88763d0154529af19b93813941c7ea0592a6e34808d504fbdfcc0b8138ca9a92,1,233,236,H.H. Golden,partial-803,zero,524126884114067,0,0,true,,false,NO_KNOWN_ISSUES
548,https://www.facebook.com/thesweatstorelv,https://www.facebook.com/thesweatstorelv,88d12fbbca0d6ddf50d24798961ada880cbf98c7ebfe219ecae2aa4be4dd8270,1,719,753,The Sweat Store,partial-803,zero,393845110710723,0,0,true,,false,NO_KNOWN_ISSUES
549,https://www.facebook.com/ADACollection,https://www.facebook.com/adacollection,88d468dc7ee43922b24d55707e576083608ce725d44f2cb401a08a431869d834,1,1002,1036,ADA Collection,continuation-209,positive,138470622940205,14,14,true,,false,NO_KNOWN_ISSUES
